filename,width,height,class,xmin,ymin,xmax,ymax
cartel_144_ENCES-c.png,640,128,L,10,5,118,123
cartel_144_ENCES-c.png,640,128,L,138,5,246,123
cartel_144_ENCES-c.png,640,128,L,266,5,374,123
cartel_144_ENCES-c.png,640,128,L,394,5,502,123
cartel_144_ENCES-c.png,640,128,L,522,5,630,123
cartel_145_43T-ng.png,384,128,N,10,5,118,123
cartel_145_43T-ng.png,384,128,N,138,5,246,123
cartel_145_43T-ng.png,384,128,L,266,5,374,123
cartel_147_FQQPG6E74-nsp.png,1152,128,L,10,5,118,123
cartel_147_FQQPG6E74-nsp.png,1152,128,L,138,5,246,123
cartel_147_FQQPG6E74-nsp.png,1152,128,L,266,5,374,123
cartel_147_FQQPG6E74-nsp.png,1152,128,L,394,5,502,123
cartel_147_FQQPG6E74-nsp.png,1152,128,L,522,5,630,123
cartel_147_FQQPG6E74-nsp.png,1152,128,N,650,5,758,123
cartel_147_FQQPG6E74-nsp.png,1152,128,L,778,5,886,123
cartel_147_FQQPG6E74-nsp.png,1152,128,N,906,5,1014,123
cartel_147_FQQPG6E74-nsp.png,1152,128,N,1034,5,1142,123
cartel_148_CYZIN-ng.png,640,128,L,10,5,118,123
cartel_148_CYZIN-ng.png,640,128,L,138,5,246,123
cartel_148_CYZIN-ng.png,640,128,L,266,5,374,123
cartel_148_CYZIN-ng.png,640,128,L,394,5,502,123
cartel_148_CYZIN-ng.png,640,128,L,522,5,630,123
cartel_148_CYZIN-nsp.png,640,128,L,10,5,118,123
cartel_148_CYZIN-nsp.png,640,128,L,138,5,246,123
cartel_148_CYZIN-nsp.png,640,128,L,266,5,374,123
cartel_148_CYZIN-nsp.png,640,128,L,394,5,502,123
cartel_148_CYZIN-nsp.png,640,128,L,522,5,630,123
cartel_153_HYDEXV5-c.png,896,128,L,10,5,118,123
cartel_153_HYDEXV5-c.png,896,128,L,138,5,246,123
cartel_153_HYDEXV5-c.png,896,128,L,266,5,374,123
cartel_153_HYDEXV5-c.png,896,128,L,394,5,502,123
cartel_153_HYDEXV5-c.png,896,128,L,522,5,630,123
cartel_153_HYDEXV5-c.png,896,128,L,650,5,758,123
cartel_153_HYDEXV5-c.png,896,128,N,778,5,886,123
cartel_154_XGIRF-ng.png,640,128,L,10,5,118,123
cartel_154_XGIRF-ng.png,640,128,L,138,5,246,123
cartel_154_XGIRF-ng.png,640,128,L,266,5,374,123
cartel_154_XGIRF-ng.png,640,128,L,394,5,502,123
cartel_154_XGIRF-ng.png,640,128,L,522,5,630,123
cartel_155_NF0JA6TG-ng.png,1024,128,L,10,5,118,123
cartel_155_NF0JA6TG-ng.png,1024,128,L,138,5,246,123
cartel_155_NF0JA6TG-ng.png,1024,128,N,266,5,374,123
cartel_155_NF0JA6TG-ng.png,1024,128,L,394,5,502,123
cartel_155_NF0JA6TG-ng.png,1024,128,L,522,5,630,123
cartel_155_NF0JA6TG-ng.png,1024,128,N,650,5,758,123
cartel_155_NF0JA6TG-ng.png,1024,128,L,778,5,886,123
cartel_155_NF0JA6TG-ng.png,1024,128,L,906,5,1014,123
cartel_155_NF0JA6TG-nsp.png,1024,128,L,10,5,118,123
cartel_155_NF0JA6TG-nsp.png,1024,128,L,138,5,246,123
cartel_155_NF0JA6TG-nsp.png,1024,128,N,266,5,374,123
cartel_155_NF0JA6TG-nsp.png,1024,128,L,394,5,502,123
cartel_155_NF0JA6TG-nsp.png,1024,128,L,522,5,630,123
cartel_155_NF0JA6TG-nsp.png,1024,128,N,650,5,758,123
cartel_155_NF0JA6TG-nsp.png,1024,128,L,778,5,886,123
cartel_155_NF0JA6TG-nsp.png,1024,128,L,906,5,1014,123
cartel_156_FH4H-ng.png,512,128,L,10,5,118,123
cartel_156_FH4H-ng.png,512,128,L,138,5,246,123
cartel_156_FH4H-ng.png,512,128,N,266,5,374,123
cartel_156_FH4H-ng.png,512,128,L,394,5,502,123
cartel_157_NM8ZZEPZS-nsp.png,1152,128,L,10,5,118,123
cartel_157_NM8ZZEPZS-nsp.png,1152,128,L,138,5,246,123
cartel_157_NM8ZZEPZS-nsp.png,1152,128,N,266,5,374,123
cartel_157_NM8ZZEPZS-nsp.png,1152,128,L,394,5,502,123
cartel_157_NM8ZZEPZS-nsp.png,1152,128,L,522,5,630,123
cartel_157_NM8ZZEPZS-nsp.png,1152,128,L,650,5,758,123
cartel_157_NM8ZZEPZS-nsp.png,1152,128,L,778,5,886,123
cartel_157_NM8ZZEPZS-nsp.png,1152,128,L,906,5,1014,123
cartel_157_NM8ZZEPZS-nsp.png,1152,128,L,1034,5,1142,123
cartel_160_IH-nsp.png,256,128,L,10,5,118,123
cartel_160_IH-nsp.png,256,128,L,138,5,246,123
cartel_161_MMV59K-ng.png,768,128,L,10,5,118,123
cartel_161_MMV59K-ng.png,768,128,L,138,5,246,123
